,dot_s,psi,t,x,y,z
264,0.0,0.7853981633974483,2.64,0.0,0.0,-100.0
265,0.0,0.7853981633974483,2.65,0.0,0.0,-100.0
266,0.0,0.7853981633974483,2.66,0.0,0.0,-100.0
267,0.0,0.7853981633974483,2.67,0.0,0.0,-100.0
268,0.0,0.7853981633974483,2.68,0.0,0.0,-100.0
269,0.0,0.7853981633974483,2.69,0.0,0.0,-100.0
270,0.0,0.7853981633974483,2.7,0.0,0.0,-100.0
271,0.0,0.7853981633974483,2.71,0.0,0.0,-100.0
272,0.0,0.7853981633974483,2.72,0.0,0.0,-100.0
273,0.0,0.7853981633974483,2.73,0.0,0.0,-100.0
274,0.0,0.7853981633974483,2.74,0.0,0.0,-100.0
275,0.0,0.7853981633974483,2.75,0.0,0.0,-100.0
276,0.0,0.7853981633974483,2.7600000000000002,0.0,0.0,-100.0
277,0.0,0.7853981633974483,2.77,0.0,0.0,-100.0
278,0.0,0.7853981633974483,2.7800000000000002,0.0,0.0,-100.0
279,0.0,0.7853981633974483,2.79,0.0,0.0,-100.0
280,0.0,0.7853981633974483,2.8000000000000003,0.0,0.0,-100.0
281,0.0,0.7853981633974483,2.81,0.0,0.0,-100.0
282,0.0,0.7853981633974483,2.82,0.0,0.0,-100.0
283,0.0,0.7853981633974483,2.83,0.0,0.0,-100.0
284,0.0,0.7853981633974483,2.84,0.0,0.0,-100.0
285,0.0,0.7853981633974483,2.85,0.0,0.0,-100.0
286,0.0,0.7853981633974483,2.86,0.0,0.0,-100.0
287,0.0,0.7853981633974483,2.87,0.0,0.0,-100.0
288,0.0,0.7853981633974483,2.88,0.0,0.0,-100.0
289,0.0,0.7853981633974483,2.89,0.0,0.0,-100.0
290,0.0,0.7853981633974483,2.9,0.0,0.0,-100.0
291,0.0,0.7853981633974483,2.91,0.0,0.0,-100.0
292,0.0,0.7853981633974483,2.92,0.0,0.0,-100.0
293,0.0,0.7853981633974483,2.93,0.0,0.0,-100.0
294,0.0,0.7853981633974483,2.94,0.0,0.0,-100.0
295,0.0,0.7853981633974483,2.95,0.0,0.0,-100.0
296,0.0,0.7853981633974483,2.96,0.0,0.0,-100.0
297,0.0,0.7853981633974483,2.97,0.0,0.0,-100.0
298,0.0,0.7853981633974483,2.98,0.0,0.0,-100.0
299,0.0,0.7853981633974483,2.99,0.0,0.0,-100.0
300,0.0,0.7853981633974483,3.0,0.0,0.0,-100.0
301,0.0,0.7853981633974483,3.0100000000000002,0.0,0.0,-100.0
302,0.0,0.7853981633974483,3.02,0.0,0.0,-100.0
303,0.0,0.7853981633974483,3.0300000000000002,0.0,0.0,-100.0
304,0.0,0.7853981633974483,3.04,0.0,0.0,-100.0
305,0.0,0.7853981633974483,3.0500000000000003,0.0,0.0,-100.0
306,0.0,0.7853981633974483,3.06,0.0,0.0,-100.0
307,0.0,0.7853981633974483,3.0700000000000003,0.0,0.0,-100.0
308,0.0,0.7853981633974483,3.08,0.0,0.0,-100.0
309,0.0,0.7853981633974483,3.09,0.0,0.0,-100.0
310,0.0,0.7853981633974483,3.1,0.0,0.0,-100.0
311,0.0,0.7853981633974483,3.11,0.0,0.0,-100.0
312,0.0,0.7853981633974483,3.12,0.0,0.0,-100.0
313,0.0,0.7853981633974483,3.13,0.0,0.0,-100.0
314,0.0,0.7853981633974483,3.14,0.0,0.0,-100.0
315,0.0,0.7853981633974483,3.15,0.0,0.0,-100.0
316,0.0,0.7853981633974483,3.16,0.0,0.0,-100.0
317,0.0,0.7853981633974483,3.17,0.0,0.0,-100.0
318,0.0,0.7853981633974483,3.18,0.0,0.0,-100.0
319,0.0,0.7853981633974483,3.19,0.0,0.0,-100.0
320,0.0,0.7853981633974483,3.2,0.0,0.0,-100.0
321,0.0,0.7853981633974483,3.21,0.0,0.0,-100.0
322,0.0,0.7853981633974483,3.22,0.0,0.0,-100.0
323,0.0,0.7853981633974483,3.23,0.0,0.0,-100.0
324,0.0,0.7853981633974483,3.24,0.0,0.0,-100.0
325,0.0,0.7853981633974483,3.25,0.0,0.0,-100.0
326,0.0,0.7853981633974483,3.2600000000000002,0.0,0.0,-100.0
327,0.0,0.7853981633974483,3.27,0.0,0.0,-100.0
328,0.0,0.7853981633974483,3.2800000000000002,0.0,0.0,-100.0
329,0.0,0.7853981633974483,3.29,0.0,0.0,-100.0
330,0.0,0.7853981633974483,3.3000000000000003,0.0,0.0,-100.0
331,0.0,0.7853981633974483,3.31,0.0,0.0,-100.0
332,0.0,0.7853981633974483,3.3200000000000003,0.0,0.0,-100.0
333,0.0,0.7853981633974483,3.33,0.0,0.0,-100.0
334,0.0,0.7853981633974483,3.34,0.0,0.0,-100.0
335,0.0,0.7853981633974483,3.35,0.0,0.0,-100.0
336,0.0,0.7853981633974483,3.36,0.0,0.0,-100.0
337,0.0,0.7853981633974483,3.37,0.0,0.0,-100.0
338,0.0,0.7853981633974483,3.38,0.0,0.0,-100.0
339,0.0,0.7853981633974483,3.39,0.0,0.0,-100.0
340,0.0,0.7853981633974483,3.4,0.0,0.0,-100.0
341,0.0,0.7853981633974483,3.41,0.0,0.0,-100.0
342,0.0,0.7853981633974483,3.42,0.0,0.0,-100.0
343,0.0,0.7853981633974483,3.43,0.0,0.0,-100.0
344,0.0,0.7853981633974483,3.44,0.0,0.0,-100.0
345,0.0,0.7853981633974483,3.45,0.0,0.0,-100.0
346,0.0,0.7853981633974483,3.46,0.0,0.0,-100.0
347,0.0,0.7853981633974483,3.47,0.0,0.0,-100.0
348,0.0,0.7853981633974483,3.48,0.0,0.0,-100.0
349,0.0,0.7853981633974483,3.49,0.0,0.0,-100.0
350,0.0,0.7853981633974483,3.5,0.0,0.0,-100.0
351,0.0,0.7853981633974483,3.5100000000000002,0.0,0.0,-100.0
352,0.0,0.7853981633974483,3.52,0.0,0.0,-100.0
353,0.0,0.7853981633974483,3.5300000000000002,0.0,0.0,-100.0
354,0.0,0.7853981633974483,3.54,0.0,0.0,-100.0
355,0.0,0.7853981633974483,3.5500000000000003,0.0,0.0,-100.0
356,0.0,0.7853981633974483,3.56,0.0,0.0,-100.0
357,0.0,0.7853981633974483,3.5700000000000003,0.0,0.0,-100.0
358,0.0,0.7853981633974483,3.58,0.0,0.0,-100.0
359,0.0,0.7853981633974483,3.59,0.0,0.0,-100.0
360,0.0,0.7853981633974483,3.6,0.0,0.0,-100.0
361,0.0,0.7853981633974483,3.61,0.0,0.0,-100.0
362,0.0,0.7853981633974483,3.62,0.0,0.0,-100.0
363,0.0,0.7853981633974483,3.63,0.0,0.0,-100.0
364,0.0,0.7853981633974483,3.64,0.0,0.0,-100.0
365,0.0,0.7853981633974483,3.65,0.0,0.0,-100.0
366,0.0,0.7853981633974483,3.66,0.0,0.0,-100.0
367,0.0,0.7853981633974483,3.67,0.0,0.0,-100.0
368,0.0,0.7853981633974483,3.68,0.0,0.0,-100.0
369,0.0,0.7853981633974483,3.69,0.0,0.0,-100.0
370,0.0,0.7853981633974483,3.7,0.0,0.0,-100.0
371,0.0,0.7853981633974483,3.71,0.0,0.0,-100.0
372,0.0,0.7853981633974483,3.72,0.0,0.0,-100.0
373,0.0,0.7853981633974483,3.73,0.0,0.0,-100.0
374,0.0,0.7853981633974483,3.74,0.0,0.0,-100.0
375,0.0,0.7853981633974483,3.75,0.0,0.0,-100.0
376,0.0,0.7853981633974483,3.7600000000000002,0.0,0.0,-100.0
377,0.0,0.7853981633974483,3.77,0.0,0.0,-100.0
378,0.0,0.7853981633974483,3.7800000000000002,0.0,0.0,-100.0
379,0.0,0.7853981633974483,3.79,0.0,0.0,-100.0
380,0.0,0.7853981633974483,3.8000000000000003,0.0,0.0,-100.0
381,0.0,0.7853981633974483,3.81,0.0,0.0,-100.0
382,0.0,0.7853981633974483,3.8200000000000003,0.0,0.0,-100.0
383,0.0,0.7853981633974483,3.83,0.0,0.0,-100.0
384,0.0,0.7853981633974483,3.84,0.0,0.0,-100.0
385,0.0,0.7853981633974483,3.85,0.0,0.0,-100.0
386,0.0,0.7853981633974483,3.86,0.0,0.0,-100.0
387,0.0,0.7853981633974483,3.87,0.0,0.0,-100.0
388,0.0,0.7853981633974483,3.88,0.0,0.0,-100.0
389,0.0,0.7853981633974483,3.89,0.0,0.0,-100.0
390,0.0,0.7853981633974483,3.9,0.0,0.0,-100.0
391,0.0,0.7853981633974483,3.91,0.0,0.0,-100.0
392,0.0,0.7853981633974483,3.92,0.0,0.0,-100.0
393,0.0,0.7853981633974483,3.93,0.0,0.0,-100.0
394,0.0,0.7853981633974483,3.94,0.0,0.0,-100.0
